,Name,Website,Total Capital Raised,Company Age,Maximum Employees,Status
0,AutoFi,http://www.autofi.com,29500000.0,5.0,50.0,
1,AutoGraph,https://www.autograph.me,12100000.0,9.0,10.0,
2,Auto I.D.,http://autoidinc.com,1121947.0,7.0,10.0,
3,Automated Insights,http://www.automatedinsights.com,10800000.0,13.0,100.0,
4,Automatic,http://automatic.com,24000000.0,9.0,50.0,
5,Automation Hero,https://automationhero.ai/,19000000.0,3.0,50.0,
6,Automile,https://www.automile.com,47306131.0,7.0,50.0,
7,Automizy,https://www.automizy.com/,1128348.0,6.0,10.0,
8,"automotiveMastermind, Inc",https://www.automotivemastermind.com/,48000041.0,8.0,250.0,
9,Automox,https://www.automox.com/,12600000.0,5.0,100.0,
10,Autonet Mobile,http://www.autonetmobile.com,18206787.0,15.0,100.0,
11,Autonomic,http://autonomic.ai,10756312.0,4.0,100.0,
12,Autonomous Healthcare,http://www.autonomoushealthcare.com,2646659.0,7.0,10.0,
13,Autonomous Marine Systems,http://www.automarinesys.com/,5770000.0,7.0,10.0,
14,AutopilotHQ,http://www.autopilothq.com,33999999.0,9.0,100.0,
15,AutoVirt,http://www.autovirt.com,24300000.0,13.0,50.0,
16,Autzu,https://www.autzu.com,12400000.0,4.0,50.0,
17,Ava,http://www.ava.me/,1845000.0,6.0,10.0,
18,AVA,http://www.eatwithava.com/,3000000.0,4.0,250.0,
19,Avaamo,https://avaamo.ai,23500000.0,6.0,100.0,
20,Avacen,http://www.avacen.com/avacen/action?do=welcome,2000000.0,8.0,50.0,
21,Avado,http://www.avado.com,1000000.0,9.0,50.0,
22,AVA Health Technologies,http://avahealth.com/,1202510.0,7.0,10.0,
23,Avail,http://www.avail.co,5537500.0,8.0,50.0,
24,Avails Medical,http://www.availsmedical.com/,7413020.0,7.0,10.0,
25,Avalon Battery Corporation,http://www.avalonbattery.com/,3140390.0,7.0,50.0,
26,Avalon Healthcare Solutions,http://www.avalonhcs.com/,29272066.0,7.0,100.0,
27,Avalon Solutions Group,http://avalonsolutionsgroup.com,3612500.0,8.0,10.0,
28,Avametric,http://www.avametric.com,10620000.0,8.0,50.0,
29,Avanan,http://www.avanan.com,41400000.0,6.0,100.0,
30,Avancen MOD,http://www.avancen.com,1643849.0,11.0,50.0,
31,Avanoo,http://www.avanoo.com,7900000.0,7.0,50.0,
32,AvanSci Bio,http://avanscibio.com,960000.0,9.0,10.0,
33,Avant-garde Health,http://www.avantgardehealth.com,4000000.0,6.0,10.0,
34,AvantStay,http://avantstay.com,26000000.0,4.0,100.0,
35,Avata Intelligence,https://avata.ai,2500000.0,7.0,50.0,
36,Avatara,https://avataracloud.com/,10000000.0,15.0,250.0,
37,Avatar Reality,http://www.bluemars.com,4200000.0,14.0,50.0,
38,Avaxia Biologics,http://www.avaxiabiologics.com,35112137.0,15.0,50.0,
39,Avega Systems,http://avegasystems.com,9500000.0,15.0,10.0,
40,Avelas Biosciences,http://www.avelasbio.com,41850000.0,12.0,63.0,
41,Aventa Technologies,http://www.aventatech.com,1000000.0,8.0,50.0,
42,Aventura Software,https://www.aventurasoftware.com,36349780.0,13.0,50.0,
43,Aver,http://www.aver.io,26070000.0,10.0,100.0,
44,Averon,http://www.averon.com,20000000.0,5.0,50.0,
45,Avhana Health,https://www.avhana.com,890000.0,6.0,10.0,
46,AVIA,http://www.aviahealthinnovation.com,48393956.0,8.0,50.0,
47,AviaraDx,http://www.aviaradx.com,8000000.0,15.0,10.0,
48,Aviary,http://www.aviary.com,22794025.0,13.0,50.0,
49,Avicena,http://avicenaheart.com/,2233000.0,6.0,10.0,
50,Avila Therapeutics,http://www.avilatx.com,31500000.0,14.0,50.0,
51,Avincel Consulting,http://avincelconsulting.com,4752083.0,8.0,50.0,
52,Avinew,https://www.avinew.com/,5000000.0,4.0,50.0,
53,"Avi-on Labs, Inc.",http://avi-on.com/,6062626.0,6.0,50.0,
54,Avisa Pharma,http://avisapharma.com/,914359.0,10.0,10.0,
55,Avisare,https://avisare.com/,1620000.0,5.0,10.0,
56,Aviso,http://www.aviso.com,31000000.0,8.0,250.0,
57,Avitide,http://avitide.com,30687255.0,8.0,50.0,
58,Avitus Orthopaedics,http://avitusortho.com,1000000.0,9.0,10.0,
59,Avizia,https://www.avizia.com/,23744992.0,7.0,100.0,
60,AVM Biotechnology,http://avmbiotech.com,8918000.0,12.0,10.0,
61,Avni Networks,http://avni.io/,4500000.0,7.0,50.0,
62,Avocado,https://www.avocadosys.com,1000000.0,5.0,50.0,
63,Avocadoâ„¢,http://avocado.io,2150000.0,8.0,10.0,
64,Avocado Systems,http://www.avocadosystems.net,1000000.0,5.0,50.0,
65,Avogy,http://avogy.com,40070000.0,10.0,50.0,
66,Avolanta,http://www.avolanta.com,2500000.0,2.0,10.0,
67,Avox,http://avox.mobi,2000000.0,6.0,50.0,
68,AVVAY,http://www.avvay.com/,1000000.0,4.0,10.0,
69,AVYST Technologies,http://www.avyst.com/,2500000.0,5.0,50.0,
70,Awair,https://getawair.com,21139000.0,7.0,50.0,
71,Awake Security,http://www.awakesecurity.com,30000000.0,6.0,100.0,
72,Aware,https://www.awarehq.com/,10850000.0,3.0,50.0,
73,Aware3,http://aware3.com,2000000.0,6.0,10.0,
74,AwarenessHub,http://www.awarenesshub.com,21948190.0,13.0,50.0,
75,AwayFind,http://www.awayfind.com,800000.0,12.0,10.0,
76,awe.sm,http://awe.sm,5000000.0,11.0,100.0,
77,aWhere,http://www.awhere.com,19585249.0,13.0,50.0,
78,Axerion Therapeutics,http://www.axeriontherapeutics.com,1150000.0,11.0,10.0,
79,aXess america,http://axessamerica.com,2900000.0,10.0,50.0,
80,Axiado,https://axiado.com/,10000000.0,3.0,100.0,
81,Axial,http://www.axial.net,33500000.0,11.0,124.0,
82,Axial Exchange,http://axialexchange.com,9412407.0,11.0,50.0,
83,Axial Healthcare,http://axialhealthcare.com,26300012.0,8.0,100.0,
84,AxiaMed,http://www.axiamed.com,15750073.0,6.0,50.0,
85,Axikin Pharmaceuticals,http://www.axikin.com,18500000.0,12.0,50.0,
86,Axio Global,http://www.axio.com/,4352744.0,7.0,50.0,
87,Axiom Exergy,http://www.axiomexergy.com,10100000.0,6.0,50.0,
88,Axiom Space,http://www.axiomspace.com,16000000.0,5.0,50.0,
89,AxioMx,http://axiomxinc.com,4000000.0,8.0,50.0,
90,Axion BioSystems,http://axionbiosystems.com,20308960.0,13.0,50.0,
91,AXIOS Media,https://www.axios.com/,30000000.0,4.0,250.0,
92,AXIS Labs,http://www.helloaxis.com,3928601.0,5.0,50.0,
93,Axis Semiconductor,http://www.axissemi.com,4025000.0,13.0,10.0,
94,Axium Nano,http://www.axiumnanofibers.com/,11263124.0,10.0,10.0,
95,AxleHire,https://axlehire.com/,15420000.0,5.0,50.0,
96,Axol Bioscience,https://www.axolbio.com,4695124.0,7.0,50.0,
97,AxonAI(ConvergentAi),http://axonai.com,1450000.0,7.0,10.0,
98,AXON Connected,http://www.axonconnected.com/#axon,2100000.0,7.0,50.0,
99,Axonia Medical,http://www.axoniamedical.com,8390000.0,9.0,10.0,
100,AxoSim,http://axosim.com/,4248000.0,6.0,50.0,
101,aXpire,http://axpire.com,20000000.0,2.0,250.0,
102,aXpire,https://www.axpire.io/,20000000.0,3.0,250.0,
103,AXPM,http://axpm.com/,3000000.0,8.0,250.0,
104,AX Trading Network,http://axtrading.com/,20000000.0,7.0,50.0,
105,"Axwave, Inc.",http://www.axwave.com,3250000.0,8.0,50.0,
106,AYAH,http://www.areyouahuman.com,7875000.0,9.0,50.0,
107,Ayar Labs,https://ayarlabs.com/,29500000.0,5.0,50.0,
108,Ayehu Software Technologies,http://www.ayehu.com,4146266.0,13.0,100.0,
109,AYR,https://www.ayr.com/,5496852.0,6.0,50.0,
110,Azalea Health,http://www.azaleahealth.com/,13500000.0,12.0,250.0,
111,Azalea Networks,http://www.azaleanet.com,15000000.0,15.0,100.0,
112,Azeria Therapeutics,https://www.azeriatherapeutics.com,46483383.0,3.0,10.0,
113,Aziyo Biologics,http://aziyo.com,22000000.0,5.0,250.0,
114,Azoi,http://www.azoi.com,2999999.0,9.0,250.0,
115,Azoti Inc.,http://www.azoti.com,3109000.0,8.0,10.0,
116,Azuki Systems,http://www.azukisystems.com,28100000.0,13.0,50.0,
117,Azumio,http://www.azumio.com,3416215.0,9.0,50.0,
118,Azuqua,http://www.azuqua.com,15980000.0,9.0,100.0,
119,Azuray Technologies,http://azuraytech.com,5000000.0,13.0,50.0,
120,B12,https://b12.io,12400000.0,5.0,50.0,
121,B4C Technologies,http://b4ctechnologies.com,1500010.0,10.0,10.0,
122,Bababoo,http://www.bababoo.com,1500000.0,10.0,10.0,
123,BabbaCo (acquired by Barefoot Books in 2014),http://www.babbaco.com,4525000.0,12.0,50.0,
124,Babble,http://www.babble.com,6250000.0,14.0,50.0,
125,BabbleLabs,https://www.babblelabs.com/,18000000.0,3.0,50.0,
126,Babbler,http://babbler.us/,2771408.0,7.0,50.0,
127,BabelBark,http://www.babelbark.com/,8592600.0,5.0,10.0,
128,Babel Health,http://www.babelhealth.com/,6500000.0,5.0,50.0,
129,Babel Street,http://babelstreet.com,3225000.0,11.0,50.0,
130,Baby Doctor,http://babydoctor.com,1250000.0,5.0,10.0,
131,BabyQuip,http://www.babyquip.com,2353000.0,4.0,10.0,
132,Babyscripts,http://www.getbabyscripts.com,16260448.0,7.0,50.0,
133,babystep.tv,https://babystep.tv/en,4000000.0,7.0,50.0,
134,BabyWatch,http://babywatchome.com,4519895.0,8.0,50.0,
135,back4app,http://www.back4app.com,1960680.0,5.0,10.0,
136,Back9 Network,http://preview.back9network.com,1000000.0,10.0,10.0,
137,Backand,http://www.backand.com,2710000.0,8.0,50.0,
138,Backblaze,http://www.backblaze.com,5300001.0,13.0,250.0,
139,Backbone PLM,https://www.backboneplm.com,21400000.0,6.0,50.0,
140,Backjoy,http://backjoy.com,10971127.0,15.0,100.0,
141,BacklotCars,http://backlotcars.com/,37800000.0,6.0,50.0,
142,Back Office.co,http://www.backoffice.co,1950000.0,2.0,50.0,
143,Backplane,http://thebackplane.com,18900000.0,9.0,50.0,
144,backplane.io,https://www.backplane.io/,5000000.0,4.0,10.0,
145,Backspaces,http://backspac.es,7962794.0,8.0,50.0,
146,Backstage Capital,http://backstagecapital.com/,1500000.0,5.0,10.0,
147,Back to the Roots,https://backtotheroots.com/,17575000.0,11.0,14.0,
148,Backtrace,http://backtrace.io,6130000.0,6.0,50.0,
149,BackType,http://www.backtype.com,1315000.0,12.0,10.0,
150,Backyard Brains,http://www.backyardbrains.com,5439066.0,11.0,50.0,
151,Bacon,http://www.bacon.work,4000000.0,2.0,50.0,
152,Bactana Animal Health,http://bactana.com/,1347000.0,4.0,10.0,
153,Badge,http://badge.co/,1100000.0,6.0,10.0,
154,Badgeville,http://badgeville.com,39950000.0,10.0,100.0,
155,"Bad Juju Games, Inc.",http://www.badjuju.com,5000000.0,10.0,50.0,
156,"Baffle, Inc.",http://baffle.io/,16500000.0,5.0,50.0,
157,Bagel Labs,http://www.bagel-labs.com/,1953798.0,4.0,10.0,
158,Bainbridge Health,http://www.bainbridgehealth.com,2900000.0,4.0,50.0,
159,Baker Technologies,http://www.trybaker.com,12514432.0,6.0,100.0,
160,Bak USA,http://bakusa.com/,30000000.0,5.0,250.0,
161,Balanced,http://www.balancedpayments.com,3550000.0,10.0,50.0,
162,BALANCED Media|Technology,http://www.balancedmediatechnology.com/,1980000.0,4.0,50.0,
163,Balance Therapeutics,http://balance-therapeutics.com/default.aspx,21183000.0,11.0,50.0,
164,balena,https://balena.io,31400000.0,7.0,100.0,
165,Balloon,https://getballoon.com,2573000.0,5.0,10.0,
166,BallotReady,http://www.ballotready.org,2430000.0,5.0,10.0,
167,Balluun,http://www.balluun.com,12500000.0,8.0,50.0,
168,Ballyhoo Media,http://www.ballyhooboats.com,910000.0,4.0,10.0,
169,Balto Software,https://www.baltosoftware.com/,4300000.0,3.0,50.0,
170,Bambeco,http://www.bambeco.com,27306799.0,12.0,50.0,
171,Bambee,https://www.bambee.com,10500000.0,4.0,100.0,
172,Bamboo Commerce,http://www.bamboocommerce.io/,1000000.0,4.0,10.0,
173,Bamboo Therapeutics,http://bambootherapeutics.com/,49500000.0,6.0,50.0,
174,Bambu Tech Inc.,http://www.bambu.tech,3050000.0,4.0,10.0,
175,BAM Labs,http://www.bamlabs.com,16151237.0,14.0,50.0,
176,BAM Worldwide,https://www.bamfi.com/,40000000.0,9.0,50.0,
177,Bandar Foods,http://www.bandarfoods.com/,2000000.0,8.0,50.0,
178,BANDIER,http://www.bandier.com,34400000.0,6.0,50.0,
179,Band Industries,http://bandindustries.com,1525000.0,8.0,50.0,
180,Bandpage,http://www.bandpage.com,27600000.0,11.0,50.0,
181,Bandura,https://banduracyber.com/,14115000.0,8.0,50.0,
182,BANDWAGON,https://bandwagonfanclub.com,1453500.0,6.0,10.0,
183,Bandwdth Publishing,http://www.bandwdth.com,853078.0,10.0,10.0,
184,BankerBay,https://www.bankerbay.com/,4600000.0,7.0,50.0,
185,BANKEX,https://bankex.com/,18000000.0,4.0,50.0,
186,Bankjoy,https://bankjoy.com/,1770000.0,5.0,50.0,
187,Bank of Georgetown,http://bankofgeorgetown.com,18000000.0,15.0,100.0,
188,BankSight Systems,https://banksight.com,4700000.0,5.0,50.0,
189,Banno,http://banno.com,1000000.0,12.0,100.0,
190,BanQu,https://banqu.co/,3986673.0,5.0,10.0,
191,Bantam Live,http://www.bantamlive.com,3050002.0,12.0,10.0,
192,Bantam Tools,http://othermachine.co/,7154915.0,7.0,50.0,
193,Banyan,https://banyan.com/,12559000.0,7.0,50.0,
194,Banyan Security,https://banyansecurity.io,17000000.0,5.0,50.0,
195,Banyan Water,http://www.banyanwater.com,4416768.0,9.0,50.0,
196,Banza,http://www.eatbanza.com/,28000000.0,6.0,10.0,
197,Baobab Studios,http://baobabstudios.com/,31000000.0,5.0,50.0,
198,Barcol Air USA,http://barcolairusa.com,3000000.0,13.0,10.0,
199,Bardavon Health Innovations,http://www.bardavon.com,19000000.0,7.0,50.0,
200,Bardy Diagnostics,http://bardydx.com/,35500000.0,7.0,50.0,
201,Barefoot Luxury Inc.,http://www.barefootluxury.com,5000000.0,4.0,100.0,
202,Baremetrics,https://baremetrics.com,800000.0,7.0,10.0,
203,BarEye,http://www.bareye.com,849988.0,10.0,10.0,
204,Bar Harbor BioTechnology,http://www.bhbio.com,2104000.0,14.0,50.0,
205,barkback,http://www.barkback.com,2900000.0,9.0,10.0,
206,Barkly,http://www.barkly.com/,23000000.0,7.0,100.0,
207,Bark Technologies,https://www.bark.us/,16475000.0,5.0,50.0,
208,"Barn2Door, Inc.",http://www.barn2door.com,4285000.0,5.0,50.0,
209,Barnana,http://www.barnana.com,5300000.0,8.0,50.0,
210,Barnraiser,http://www.barnraiser.us,2000000.0,7.0,10.0,
211,Barn & Willow,http://barnandwillow.com/,1125000.0,5.0,10.0,
212,Baroo,http://www.baroo.co,3550000.0,6.0,50.0,
213,BaseHealth,http://www.basehealth.com/,17559271.0,12.0,50.0,
214,BaseMap,https://www.basemap.com/,2000000.0,7.0,50.0,
215,Base Pair Biotechnologies,http://www.basepairbio.com,3200000.0,8.0,10.0,
216,BaseVenture,https://www.baseventure.com/,5500000.0,5.0,50.0,
217,BASH Gaming,http://www.bashgaming.com,1200000.0,10.0,100.0,
218,Basic6,http://www.basic6.com/,4141599.0,10.0,50.0,
219,Basis,https://www.mybasis.com/,3750000.0,2.0,10.0,
220,Basis Science,http://mybasis.com,43500000.0,10.0,100.0,
221,Basket,https://basket.com/,19594659.0,6.0,10.0,
222,basno,http://basno.com,1000000.0,9.0,50.0,
http://www.autofi.com,,,,,,Yes
https://www.autograph.me,,,,,,No
http://autoidinc.com,,,,,,No
http://www.automatedinsights.com,,,,,,Yes
http://automatic.com,,,,,,No
https://automationhero.ai,,,,,,Yes
https://www.automile.com,,,,,,No
https://www.automizy.com,,,,,,No
https://www.automotivemastermind.com,,,,,,Yes
https://www.automox.com,,,,,,No
http://www.autonetmobile.com,,,,,,No
http://autonomic.ai,,,,,,Yes
http://www.autonomoushealthcare.com,,,,,,No
http://www.automarinesys.com,,,,,,No
http://www.autopilothq.com,,,,,,No
http://www.autovirt.com,,,,,,Yes
https://www.autzu.com,,,,,,Yes
http://www.ava.me,,,,,,No
http://www.eatwithava.com,,,,,,Yes
https://avaamo.ai,,,,,,Yes
http://www.avacen.com/avacen/action?do=welcome,,,,,,No
http://avahealth.com,,,,,,No
http://www.avail.co,,,,,,No
http://www.availsmedical.com,,,,,,Yes
http://www.avalonbattery.com,,,,,,No
